month,day,temp
8,1,76
8,2,75
8,3,73
8,4,74
8,5,73
8,6,83
8,7,78
8,8,76
8,9,76
8,10,84
8,11,88
8,12,89
8,13,90
8,14,88
8,15,83
8,16,83
8,17,82
8,18,80
8,19,80
8,20,80
8,21,80
8,22,74
8,23,70
8,24,74
8,25,78
8,26,84
8,27,80
8,28,78
8,29,84
8,30,80
8,31,81
