month,day,temp
5,1,50
5,2,56
5,3,56
5,4,52
5,5,52
5,6,52
5,7,56
5,8,60
5,9,59
5,10,56
5,11,60
5,12,66
5,13,63
5,14,65
5,15,52
5,16,54
5,17,58
5,18,60
5,19,63
5,20,62
5,21,58
5,22,60
5,23,64
5,24,68
5,25,71
5,26,76
5,27,80
5,28,80
5,29,77
5,30,74
5,31,80
