month,day,temp
1,1,38
1,2,36
1,3,37
1,4,26
1,5,21
1,6,28
1,7,34
1,8,39
1,9,46
1,10,54
1,11,30
1,12,32
1,13,24
1,14,34
1,15,40
1,16,47
1,17,34
1,18,24
1,19,22
1,20,29
1,21,32
1,22,24
1,25,28
1,26,34
1,27,37
1,28,32
1,29,34
1,30,33
1,31,42
