month,day,mean temp
3,1,50
3,2,46
3,3,32
3,4,36
3,5,35
3,6,38
3,7,46
3,8,60
3,9,62
3,10,70
3,11,58
3,12,49
3,13,55
3,14,47
3,15,48
3,16,55
3,17,54
3,18,54
3,19,40
3,20,40
3,21,41
3,22,44
3,23,60
3,24,54
3,25,59
3,26,46
3,27,50
3,28,56
3,29,50
3,30,46
3,31,62
